Accession,Female_Parent,Male_Parent,Cross_Type
Ho05-0961,CP83-0644,TucCP77-0042,biparental
Ho07-0613,HoCP00-0905,HoCP96-0540,biparental
Ho08-0730,Ho01-0008,L99-0226,biparental
Ho11-0523,,,
Ho11-0532,,,
Ho11-0573,,,
Ho12-0615,TucCP77-0042,HoCP96-0540,biparental
Ho12-0616,,,
Ho12-0627,,,
Ho12-0630,,,
Ho13-0708,Ho06-0530,L01-0283,biparental
Ho13-0739,,,
Ho14-0864,HoL08-0718,Ho06-0563,biparental
Ho15-0930,Ho09-0832,Ho09-0831,biparental
Ho15-0964,Ho06-0523,HoCP05-0920,biparental
Ho15-0971,Ho06-0523,HoCP05-0920,biparental
Ho16-0600,,,
Ho16-0608,HoCP08-0702,Ho06-0563,biparental
Ho16-0637,,,
Ho16-0663,,,
Ho16-0666,,,
Ho17-0722,,,
Ho17-0738,Ho11-0529,Ho05-0961,biparental
Ho17-0755,Ho08-0730,HoCP01-0517,biparental
Ho18-0877,Ho12-9018,Ho11-0599,biparental
Ho18-0878,,,
Ho19-0959,,,
Ho21-0616,,,
HoCP00-0950,HoCP93-0750,HoCP92-0676,biparental
HoCP04-0838,,,
HoCP04-0852,,,
HoCP04-838,HoCP85-0845,LCP85-0384,biparental
HoCP05-0920,Ho94-0856,HoCP90-0941,biparental
HoCP09-0804,,,
HoCP09-0857,CP89-0831,Ho93-0770,biparental
HoCP13-0737,HoCP05-0904,HoCP01-0517,biparental
HoCP13-0755,HoCP04-0821,HoCP05-0918,biparental
HoCP14-0802,L99-0233,HoCP04-0810,biparental
HoCP14-0826,Ho06-0565,HoCP04-0810,biparental
HoCP14-0830,HoCP05-0923,HoCP96-0540,biparental
HoCP14-0855,Ho07-0613,Ho06-0530,biparental
HoCP14-0867,Ho06-0523,HoCP04-0852,biparental
HoCP14-0885,Ho07-0613,Ho05-0920,biparental
HoCP15-0543,CPCL02-8021,HoCP96-0540,biparental
HoCP17-0701,HoCP05-0902,Ho06-0530,biparental
HoCP17-0702,HoCP05-0902,Ho06-0530,biparental
HoCP17-0705,Ho09-0850,Ho09-0824,biparental
HoCP17-0710,,,
HoCP17-0714,,,
HoCP18-0803,HoL08-0718,HoCP09-0814,biparental
HoCP18-0810,Ho08-0711,Ho06-0530,biparental
HoCP18-0815,Ho08-0711,Ho07-0613,biparental
HoCP18-0824,HoCP09-0846,CP89-0831,biparental
HoCP18-0829,HoL05-0953,HoCP09-0814,biparental
HoCP18-0839,Ho09-0822,Ho06-0562,biparental
HoCP18-0846,L03-0371,HoCP11-0536,biparental
HoCP19-0900,HoCP09-0809,HoCP05-0918,biparental
HoCP19-0903,HoCP09-0804,Ho07-0613,biparental
HoCP19-0907,Ho11-0572,HoCP05-0920,biparental
HoCP19-0914,HoCP05-0920,Ho05-0961,biparental
HoCP19-0921,L09-0112,HoCP09-0814,biparental
HoCP19-0947,HoCP09-0814,Ho05-0961,biparental
HoCP19-0955,L03-0371,HoCP09-0857,biparental
HoCP19-0960,HoCP05-0920,HoCP09-0814,biparental
HoCP20-0501,HoCP05-0920,Ho07-0613,biparental
HoCP20-0513,Ho12-0633,Ho11-0532,biparental
HoCP20-0521,HoCP09-0804,Ho11-0556,biparental
HoCP20-0523,L08-0090,HoCP04-0838,biparental
HoCP20-0527,Ho11-0512,HoCP05-0920,biparental
HoCP20-0535,HoCP12-0661,HoCP04-0852,biparental
HoCP20-0541,HoCP12-0661,HoCP04-0852,biparental
HoCP20-0554,HoCP11-0544,Ho12-0630,biparental
HoCP20-0560,Ho11-0556,HoCP04-0852,biparental
HoCP20-0568,Ho11-0556,HoCP04-0852,biparental
HoCP21-0608,,,
HoCP21-0621,,,
HoCP21-0624,,,
HoCP21-0629,,,
HoCP21-0630,,,
HoCP21-0641,,,
HoCP21-0642,,,
HoCP21-0645,,,
HoCP21-0647,,,
HoCP21-0659,,,
HoCP22-702,Ho13-0708,HoCP14-0885,biparental
HoCP22-703,L09-0112,Ho09-0840,biparental
HoCP22-707,L03-0371,Ho12-0615,biparental
HoCP22-716,LCP85-0384,HoCP04-0852,biparental
HoCP22-733,Ho07-0613,HoCP14-0867,biparental
HoCP22-735,Ho15-0970,Ho11-0532,biparental
HoCP22-743,Ho11-0511,HoCP14-0885,biparental
HoCP22-748,HoCP14-0867,HoCP14-0885,biparental
HoCP22-749,HoCP13-0737,Ho11-0573,biparental
HoCP22-754,L12-0218,HoCP14-0885,biparental
HoCP22-757,HoCP15-0986,HoCP14-0885,biparental
HoCP22-761,HoCP13-0755,Ho11-0573,biparental
HoCP23-827,,,
HoCP23-835,,,
HoCP96-0540,LCP86-0454,LCP85-0384,biparental
HoL15-0508,CP83-0644,L01-0283,biparental
HoL15-0993,Ho07-0617,09P22,biparental
HoSG-0031,,,
HoSG-315,,,
L01-0299,L93-0365,LCP85-0384,biparental
L11-0183,,,
L12-0201,L97-0128,HoCP96-0540,biparental
L12-0218,,,
L12-0227,L01-0283,L99-0226,biparental
L14-0267,HoCP05-0918,L01-0283,biparental
L14-0282,,,
L15-0306,CP83-0644,L01-0283,biparental
L17-0400,L05-0457,L01-0299,biparental
LCP85-0384,CP77-0310,CP77-0407,biparental
M1989/99,,,
N22,,,
N37,,,
N41,74L0790,82W1542,biparental
N49,,,
N53,,,
N55,,,
N58,,,
NA011806,,,
NA01640,,,
NA033300,,,
NA041992,,,
NA051673,,,
NA052115,,,
NA052748,,,
NA0559,,,
NA05811,,,
NSG-197,CP90-0956,HoCP92-0678,biparental
Q196,,,
Q208,,,
Q232,,,
Q234,,,
Q235,,,
R575,,,
R584,,,
R95/2202,,,
SP89-1115,,,
SP90-1638,,,
US67-22-2,,,
US87-1019,,,
