"id","totalbiomass","ratooningability","averagebrix","observed"
"CP17-1254",2327.3,0.4441,19.988,FALSE
"CP17-1413",2534.07,0.4426,19.8323,FALSE
"CP17-1470",2610.82,0.4444,19.8194,FALSE
"CP17-1661",2458.06,0.4435,20.0707,FALSE
"CP17-1893",2651.36,0.4386,20.152,FALSE
"CP17-1934",2523.76,0.4443,20.2,FALSE
"CP17-1966",2521.72,0.4459,20.0768,FALSE
"CP17-1968",2521.72,0.4459,20.0768,FALSE
"CP17-2018",2380.99,0.4434,19.8868,FALSE
"CP17-2031",2608.52,0.4394,20.006,FALSE
"CP17-2061",2497.06,0.4473,20.0422,FALSE
"CP17-2134",2647.5,0.4392,19.9657,FALSE
"CP17-2281",2511.27,0.4375,20.1228,FALSE
"CP17-2315",2560.85,0.4441,19.965,FALSE
"CP17-2348",2364.77,0.4458,19.9675,FALSE
"CP17-2360",2535.2,0.4381,20.0979,FALSE
"CP17-2393",2412.78,0.4389,20.0662,FALSE
"CP17-2411",2434.14,0.4478,20.0705,FALSE
"CP17-2435",2475.12,0.4515,20.0423,FALSE
"CP17-4055",2458.06,0.4435,20.0707,FALSE
"CP17-4154",2388.2,0.4431,20.09,FALSE
"CP17-4181",2380.99,0.4434,19.8868,FALSE
"CP17-4262",2422.25,0.4457,20.1293,FALSE
"CP17-4264",2422.25,0.4457,20.1293,FALSE
"CP17-4456",2394.6,0.4468,19.9295,FALSE
"CP17-4511",2444.23,0.4435,20.0473,FALSE
"CP17-4523",2495.77,0.4469,20.0374,FALSE
"CP17-4572",2489.44,0.4506,19.8319,FALSE
"CP17-4628",2652.23,0.4502,19.5972,FALSE
"CP17-4654",2263.89,0.4461,19.6337,FALSE
"CP17-4665",2263.89,0.4461,19.6337,FALSE
"CP17-4681",2269.88,0.4447,19.9094,FALSE
"CP17-4731",2425.31,0.4437,20.0855,FALSE
"CP17-4791",2465.1,0.4444,19.8958,FALSE
"CP17-4793",2465.1,0.4444,19.8958,FALSE
"CP17-4805",2465.1,0.4444,19.8958,FALSE
"CP17-4806",2465.1,0.4444,19.8958,FALSE
"CP17-4813",2425.31,0.4437,20.0855,FALSE
"CP17-4830",2425.31,0.4437,20.0855,FALSE
"CP18-1038",2338.48,0.4374,20.5029,FALSE
