Accession,Female_Parent,Male_Parent,Cross_Type
Ho12-0627,HoCP85-0845,L99-0226,biparental
Ho12-0630,HoCP05-0918,HoCP96-0540,biparental
Ho13-0739,Ho06-9610,HoCP04-0838,biparental
Ho14-0722,NA,NA,NA
Ho16-0600,Ho10-0919,Ho09-0824,biparental
Ho16-0603,Ho10-0919,Ho09-0824,biparental
Ho16-0663,HoCP09-0847,HoCP10-0900,biparental
Ho16-0666,Ho10-0919,HoCP10-0905,biparental
Ho18-0878,HoCP12-0676,Ho12-9409,biparental
HoCP04-0801,HoCP93-0746,CP70-1133,biparental
HoCP04-0838,HoCP85-0845,LCP85-0384,biparental
HoCP04-0852,HoCP92-0674,Ho94-0861,biparental
HoCP09-0804,HoCP02-0625,HoCP01-0523,biparental
HoCP14-0801,HoCP04-0838,L99-0226,biparental
HoCP14-0885,Ho07-0613,HoCP05-0920,biparental
HoCP16-0674,L08-0090,HoCP04-0852,biparental
HoCP17-0702,HoCP05-0902,Ho06-0530,biparental
HoCP17-0714,HoCP05-0918,Ho09-0824,biparental
HoCP17-0722,NA,NA,NA
HoCP19-0955,L03-0371,HoCP09-0857,biparental
HoCP20-0521,HoCP09-0804,Ho11-0556,biparental
HoCP20-0554,HoCP11-0544,Ho12-0630,biparental
HoCP20-0561,HoCP12-0666,HoCP09-0804,biparental
HoH15-0926,L97-0128,HoCP04-0838,biparental
HoL15-0993,Ho07-0617,09P22,biparental
HoSG-0315,NA,NA,NA
L01-0299,L93-0365,LCP85-0384,biparental
L11-0183,HoCP92-0624,LCP85-0384,biparental
LCP85-0384,CP77-0310,CP77-0407,biparental
LF65-3611,NA,NA,NA
N37,NA,NA,NA
N49,NA,NA,NA
N55,NA,NA,NA
NA041992,NA,NA,NA
NA05-0811,NA,NA,NA
NA052115,NA,NA,NA
NSG-0197,NA,NA,NA
Q232,NA,NA,NA
Q235,NA,NA,NA
Q242,NA,NA,NA
R575,NA,NA,NA
SP89-1115,NA,NA,NA
SP91-1049,NA,NA,NA
US16-2000,NA,NA,NA
US16-2001,NA,NA,NA
US16-2004,NA,NA,NA
US16-2007,NA,NA,NA
US16-2010,NA,NA,NA
US16-2013,NA,NA,NA
US16-2020,NA,NA,NA
US16-2021,NA,NA,NA
US16-2023,NA,NA,NA
US16-2026,NA,NA,NA
US21-0006,NA,NA,NA
US21-0007,NA,NA,NA
US67-22-2,NA,NA,NA
US74-1315,NA,NA,NA
US84-1058,NA,NA,NA
X02-0724-0664,NA,NA,NA
01P04,NA,NA,NA
03P29,NA,NA,NA
09P22,NA,NA,NA
#8ColdHardy,NA,NA,NA
CG04-9694,NA,NA,NA
CL47-0083,CL41-0223,unknown,biparental
CL54-1910,CL47-0143,CL47-0083,biparental
CL87-2882,NA,NA,NA
CL88-2747,NA,NA,NA
CL88-4730,NA,NA,NA
CL89-5189,NA,NA,NA
CL90-4643,NA,NA,NA
CL92-0046,NA,NA,NA
CL93-2679,NA,NA,NA
CL96-4527,NA,NA,NA
CP00-1100,CP89-2143,CP89-2143,self
CP00-1301,CP75-1632,CP89-2143,biparental
CP00-1630,NA,NA,NA
CP00-2188,CP90-1549,CP90-1549,self
CP01-1178,CP84-1198,CP82-1172,biparental
CP01-1625,CP81-1254,CP94-2059,biparental
CP01-2390,CP95-2318,CP94-1528,biparental
CP01-2459,NA,NA,NA
CP02-1564,CP94-1528,CP72-2086,biparental
CP02-2065,CP80-1743,TCP87-3388,biparental
CP02-2281,CP94-1200,CP92-1167,biparental
CP03-1026,CP98-1119,CP92-1167,biparental
CP03-1912,CP92-1167,CP95-1039,biparental
CP03-2188,CP95-1569,CP97-1362,biparental
CP04-1250,CP97-2068,CP97-1362,biparental
CP04-1252,CP97-2068,CP97-1362,biparental
CP04-1367,CP97-2068,CP94-1607,biparental
CP04-1844,CP97-1989,CP84-1198,biparental
CP04-1935,CP94-2059,CP84-1322,biparental
CP05-1451,CP84-1198,CP88-1762,biparental
CP05-1526,CP98-1029,CP88-1162,biparental
CP05-1616,US90-0018,CP88-1762,biparental
CP05-1740,US99-1055,US02-1027,biparental
CP06-2042,CP96-1252,01P04,biparental
CP06-2170,L00-0273,02P24,biparental
CP06-2274,CP99-1896,CP94-2203,biparental
